t (s),V (mV)
0,13.7436
0.999,13.7222
2,13.7019
3,13.6823
4,13.6623
5,13.6406
6,13.6191
7,13.5999
8,13.5792
9,13.5592
10,13.539
10.999,13.5182
12,13.4987
13,13.4784
14,13.4579
15,13.4372
16,13.4191
17,13.3994
18,13.3793
18.999,13.3582
19.999,13.3402
21.001,13.3205
22,13.2999
23,13.2802
24,13.2609
25,13.2418
26,13.2221
27,13.202
28,13.1837
29,13.1662
30,13.1477
31,13.1283
32,13.1089
33,13.0883
34,13.0656
35,13.0473
36,13.0299
37,13.01
37.999,12.9911
39,12.9724
40,12.9529
41,12.9339
41.999,12.9138
43,12.8957
43.999,12.8773
45,12.8586
46,12.8401
47,12.8214
48,12.802
49,12.7833
49.999,12.7639
50.999,12.7457
52,12.7266
52.999,12.7074
54,12.6856
55,12.6657
56,12.6467
56.999,12.6287
58,12.6095
59,12.5913
60,12.5726
61.001,12.554
62,12.5358
62.999,12.518
64,12.4993
64.999,12.4805
66,12.4628
67,12.4449
68,12.4267
69,12.4088
69.999,12.3913
71,12.3722
72,12.3536
73,12.3358
74,12.3184
74.999,12.3003
76,12.2821
76.999,12.2639
77.999,12.246
79,12.2276
80,12.2106
81,12.1929
82,12.1752
82.999,12.1577
84,12.139
85,12.1207
85.999,12.103
87,12.0856
88,12.0678
89,12.0497
89.999,12.0326
91,12.015
92,11.9976
93,11.9798
94,11.9628
94.999,11.9459
96,11.9283
97,11.9117
98,11.8944
99,11.8775
100,11.8608
100.999,11.844
102,11.8271
103,11.8101
103.999,11.7937
105,11.7768
106,11.7587
107,11.7429
107.999,11.7264
109,11.7102
110,11.6926
110.999,11.6758
112,11.66
113,11.6435
114,11.6271
114.999,11.6108
116,11.5939
117,11.5781
118,11.5608
119,11.5445
120,11.5272
121.001,11.5107
122,11.4945
122.999,11.4784
124,11.4614
125,11.445
126,11.4287
127,11.4117
127.999,11.3959
129,11.3799
130,11.3626
131,11.347
132,11.33
132.999,11.3154
134,11.2978
135,11.2822
136,11.2667
137,11.2488
138,11.2345
139,11.2177
139.999,11.2025
141,11.1863
142,11.1706
143,11.1549
144,11.1393
145,11.1229
146,11.1091
147,11.0921
147.999,11.0776
149,11.0608
150,11.0458
150.999,11.031
152,11.0151
152.999,10.9997
153.999,10.9839
155,10.9684
155.999,10.9529
157,10.9374
158,10.9228
159,10.9078
160,10.8921
161,10.8766
162,10.8613
162.999,10.8464
164,10.8309
165,10.8161
165.999,10.801
167,10.7865
168,10.7716
168.999,10.7571
170,10.741
171,10.7265
171.999,10.7142
173,10.6993
173.999,10.685
175,10.6703
176,10.6563
176.999,10.6419
178,10.6263
178.999,10.6121
179.999,10.5966
180.999,10.5827
181.999,10.5678
182.999,10.5528
183.998,10.5365
184.999,10.521
185.999,10.504
186.999,10.4883
187.999,10.4726
188.998,10.4583
189.999,10.4436
190.998,10.429
191.999,10.4141
192.999,10.3989
193.998,10.3844
194.998,10.3699
195.999,10.3551
196.999,10.3403
197.998,10.3258
198.999,10.312
199.999,10.2976
200.998,10.2838
201.999,10.2692
202.999,10.2557
203.998,10.2409
204.999,10.2267
205.999,10.2125
206.999,10.1988
207.999,10.1847
208.998,10.1707
209.999,10.1556
210.998,10.1417
211.999,10.1275
212.998,10.1148
213.999,10.1004
214.999,10.0859
215.999,10.0722
216.999,10.0586
217.999,10.0441
218.999,10.0298
219.999,10.0164
220.999,10.0025
222,9.9888
223,9.9753
224,9.9621
225,9.9473
226,9.9337
227,9.9204
228,9.906
229,9.8928
229.999,9.8797
231,9.8652
232,9.8521
233,9.8379
234,9.8255
235,9.8116
