t (s),V (mV)
236,9.799
237,9.7859
238,9.7724
239,9.7596
240,9.7462
241,9.7315
242,9.7191
243,9.7051
244,9.6923
245,9.6787
246,9.664
246.999,9.6498
248,9.6368
249,9.623
250,9.6106
250.999,9.5973
252,9.5837
253,9.5707
254,9.5583
255,9.5453
256,9.5328
257,9.5188
257.999,9.5063
259,9.4931
260,9.4803
261,9.4679
262,9.4546
263,9.4425
264,9.4286
265,9.4167
266,9.4033
267,9.3912
268,9.3786
269,9.3658
270,9.3529
271,9.3405
272,9.3282
273,9.3149
274,9.3022
275,9.2898
276,9.2773
277,9.2647
278,9.2518
278.999,9.2402
280,9.2263
280.999,9.2136
282,9.2012
283,9.1882
284,9.1788
284.999,9.1648
286,9.1522
287,9.1397
288,9.1274
289,9.1147
290,9.103
290.999,9.0899
292,9.0775
293,9.0653
294,9.0539
294.999,9.0414
296,9.0292
296.999,9.0177
298,9.0055
299,8.9936
300,8.9811
301,8.969
301.999,8.9565
303,8.9445
304,8.9321
305,8.9205
305.999,8.9088
307,8.8971
308,8.8846
309,8.8733
309.999,8.8606
311,8.8497
312,8.8376
313,8.826
314,8.8151
315,8.8032
316,8.7913
317,8.7786
318,8.7673
318.999,8.7557
320,8.7439
321,8.7321
322,8.7203
323,8.7084
324,8.6964
325,8.6853
326,8.6746
327,8.6632
328,8.6529
329,8.6431
330,8.6307
331,8.6209
332,8.6084
333,8.5974
334,8.5825
335,8.573
336,8.5615
337,8.5506
338,8.5378
339,8.5272
339.999,8.5148
341,8.5036
342,8.4917
343,8.4809
344,8.4693
345,8.459
345.999,8.4473
346.999,8.4344
348,8.4229
349,8.4116
350,8.4011
351,8.3899
352,8.3795
353,8.3683
354,8.3577
355,8.347
356,8.3357
357,8.3248
358,8.3137
359,8.3033
360,8.2931
361,8.2824
362,8.2716
363,8.2603
364,8.2494
365,8.2389
366,8.2285
367,8.2184
368,8.2067
369,8.1953
370,8.1848
371,8.1738
372,8.1627
373,8.1525
374,8.1414
375,8.1309
376,8.1212
377,8.1104
378,8.0987
379,8.0885
380,8.0777
381,8.0674
382,8.0564
383,8.0461
384,8.036
385,8.0256
386,8.0144
386.999,8.0046
388,7.9943
389,7.984
390,7.9726
391,7.9625
391.999,7.9524
393,7.9418
394,7.9312
395,7.9205
396,7.9094
397,7.8994
397.999,7.8893
399,7.879
399.999,7.8683
401,7.8578
402,7.8477
403,7.8373
403.999,7.8268
405,7.8162
406,7.8069
406.999,7.797
408,7.7873
409,7.7763
410,7.767
411,7.7574
412,7.7478
412.999,7.7377
414,7.728
415,7.7188
415.999,7.7083
417,7.6987
418,7.6885
419,7.678
420,7.6689
421,7.6598
422,7.6492
423,7.6416
424,7.6318
425,7.622
426,7.6104
427,7.6015
428,7.5916
429,7.581
430,7.5718
431,7.5602
432,7.5507
433,7.541
434,7.531
435,7.52
436,7.51
437,7.5006
438,7.4914
439,7.4809
440,7.4714
441,7.4618
442,7.4524
443,7.4414
444,7.4323
445,7.4225
446,7.4133
446.999,7.4038
448,7.3939
449,7.3842
450,7.3752
450.999,7.3648
452,7.3546
453,7.3462
454,7.3358
455,7.3268
456,7.3186
457,7.31
458,7.2994
459,7.2897
460,7.2809
461,7.272
462,7.2621
463,7.2526
464,7.2448
465,7.2356
466,7.2266
467,7.2168
468,7.2082
469,7.1987
470,7.1898
471,7.1806
472,7.1714
473,7.1634
474,7.1538
475,7.144
476,7.1351
477,7.1266
478,7.1174
479,7.1087
480,7.1003
481,7.0915
482,7.0824
483,7.0728
483.999,7.0639
485,7.056
486,7.0465
487,7.0375
487.999,7.0278
489,7.0199
490,7.0107
491,7.0019
492,6.9925
493,6.9834
494,6.975
495,6.9656
496,6.9568
497,6.948
497.999,6.9379
499,6.9296
500,6.9206
501,6.912
501.999,6.9033
502.999,6.8945
503.999,6.8857
504.999,6.8767
506,6.8676
507,6.8584
508,6.8504
509,6.8414
510,6.8323
511,6.8234
512,6.8146
513,6.8062
513.999,6.7973
515,6.7872
516,6.7797
517,6.7707
518,6.7615
519,6.7526
519.999,6.7447
