t (s),V (mV)
0,12.8143
1.049,12.7982
2.1,12.7824
3.149,12.7665
4.186,12.7484
5.186,12.7326
6.185,12.7176
7.186,12.7019
8.186,12.6858
9.186,12.6699
10.185,12.6563
11.186,12.64
12.186,12.6256
13.186,12.6081
14.186,12.5922
15.186,12.5775
16.186,12.5615
17.185,12.5463
18.185,12.531
19.186,12.5144
20.186,12.4986
21.186,12.4834
22.186,12.4667
23.186,12.4515
24.185,12.4367
25.186,12.4208
26.186,12.4053
27.185,12.3908
28.186,12.3752
29.185,12.3607
30.185,12.3446
31.185,12.3293
32.186,12.3136
33.186,12.2987
34.186,12.2822
35.186,12.2686
36.186,12.252
37.185,12.2358
38.186,12.2218
39.186,12.2053
40.186,12.1903
41.186,12.1749
42.186,12.1598
43.186,12.145
44.185,12.1289
45.186,12.1144
46.186,12.0986
47.186,12.0842
48.186,12.0684
49.186,12.0542
50.186,12.0389
51.186,12.024
52.186,12.009
53.186,11.9942
54.186,11.9794
55.186,11.9632
56.186,11.9494
57.186,11.9341
58.185,11.92
59.186,11.9044
60.186,11.8901
61.186,11.8755
62.185,11.8607
63.186,11.8457
64.186,11.8313
65.185,11.8151
66.186,11.8013
67.186,11.7862
68.186,11.7717
69.186,11.7562
70.186,11.7415
71.186,11.7271
72.186,11.7114
73.186,11.6981
74.186,11.6836
75.186,11.6698
76.186,11.6551
77.186,11.6408
78.185,11.6261
79.185,11.6121
80.185,11.5971
81.186,11.5836
82.186,11.5703
83.186,11.5552
84.186,11.5409
85.186,11.5262
86.186,11.5137
87.186,11.4981
88.186,11.4851
89.186,11.4711
90.186,11.4578
91.186,11.4438
92.186,11.4301
93.186,11.4178
94.186,11.4016
95.185,11.3902
96.186,11.375
97.186,11.3606
98.185,11.3464
99.186,11.3322
100.186,11.3183
101.186,11.3045
102.185,11.2907
103.186,11.2772
104.186,11.2629
105.186,11.249
106.186,11.2349
107.185,11.2219
108.186,11.208
109.186,11.1933
110.186,11.1811
111.186,11.1678
112.185,11.15
113.186,11.1403
114.186,11.1268
115.186,11.1129
116.185,11.099
117.186,11.0865
118.186,11.0725
119.186,11.0598
120.186,11.0469
121.185,11.0338
122.186,11.0202
123.186,11.0074
124.186,10.9936
125.186,10.9806
126.186,10.9673
127.186,10.9541
128.186,10.9413
129.186,10.9283
130.186,10.9155
131.186,10.902
132.186,10.8895
133.186,10.8763
134.186,10.8631
135.186,10.8506
136.186,10.8364
137.186,10.8235
138.186,10.8121
139.186,10.7981
140.186,10.786
141.185,10.7718
142.186,10.7592
143.186,10.7466
144.185,10.735
145.185,10.7223
146.186,10.7087
147.186,10.6979
148.186,10.6847
149.185,10.6696
150.186,10.6588
151.185,10.646
152.186,10.6337
153.185,10.6219
154.185,10.609
155.185,10.5964
156.185,10.5839
157.184,10.5714
158.185,10.5579
159.185,10.5461
160.184,10.533
161.185,10.5204
162.185,10.5091
163.185,10.4968
164.184,10.4849
165.185,10.4722
166.185,10.46
167.185,10.4467
168.185,10.4352
169.185,10.4215
170.184,10.4101
171.185,10.398
172.185,10.3854
173.185,10.373
174.185,10.3606
175.185,10.3491
176.185,10.3362
177.184,10.3233
178.185,10.3115
179.184,10.2993
180.185,10.2861
181.185,10.2743
182.184,10.2624
183.185,10.2498
184.185,10.2373
185.184,10.2249
186.185,10.2125
187.185,10.2011
188.184,10.1894
189.184,10.1765
190.185,10.1648
191.185,10.1522
192.185,10.1406
193.185,10.1279
194.185,10.1164
195.184,10.1047
196.184,10.093
197.185,10.0808
198.185,10.0695
199.185,10.0571
200.184,10.0455
201.185,10.0328
202.185,10.0213
203.185,10.0091
204.185,9.9985
205.185,9.9861
206.186,9.9751
207.186,9.9624
208.186,9.9511
209.186,9.9404
210.186,9.928
211.186,9.9167
212.186,9.9063
213.186,9.8941
214.186,9.8813
215.186,9.871
216.186,9.8582
217.186,9.8475
218.186,9.8362
219.186,9.8244
220.185,9.8131
221.186,9.8014
222.185,9.7899
223.186,9.7787
224.186,9.7675
225.186,9.7559
226.185,9.7441
227.186,9.7333
228.186,9.7228
229.186,9.7119
230.186,9.7008
231.186,9.6894
232.186,9.679
233.186,9.668
234.185,9.6573
235.186,9.6463
236.186,9.6341
237.186,9.6232
238.186,9.612
239.186,9.6005
240.185,9.588
241.186,9.5775
242.185,9.5663
243.186,9.5554
244.186,9.5438
245.186,9.533
246.186,9.5216
247.186,9.5108
248.186,9.499
249.186,9.4892
250.186,9.4775
251.186,9.4658
252.186,9.4557
253.186,9.4451
254.186,9.4332
255.186,9.4234
256.186,9.4116
257.186,9.4011
258.186,9.3897
259.186,9.3788
260.185,9.3685
261.186,9.3575
262.186,9.3466
263.186,9.3361
264.186,9.3257
265.186,9.3146
266.186,9.304
267.186,9.2946
268.185,9.2838
269.186,9.273
270.186,9.2626
271.186,9.2524
272.185,9.2416
273.185,9.2311
274.186,9.22
275.186,9.2109
276.186,9.2001
277.186,9.1899
278.186,9.1793
279.185,9.1683
280.186,9.1574
281.186,9.1479
282.186,9.1365
283.186,9.1267
284.185,9.1169
285.186,9.1059
286.186,9.0963
287.186,9.0857
288.186,9.0762
289.185,9.0666
290.186,9.0555
291.186,9.0463
292.186,9.0355
293.186,9.0261
294.186,9.0154
295.186,9.0048
296.186,8.9949
297.186,8.9852
298.186,8.975
299.186,8.9657
300.185,8.9546
301.185,8.9456
302.186,8.9345
303.186,8.9243
304.186,8.9136
305.185,8.9033
306.186,8.8935
307.186,8.8837
308.186,8.872
309.186,8.8627
310.186,8.8523
311.185,8.8414
312.186,8.8322
313.186,8.8212
314.186,8.8113
315.186,8.802
316.186,8.7918
317.185,8.7815
318.186,8.7727
319.186,8.7619
320.185,8.7518
321.186,8.7424
322.186,8.7322
323.186,8.7221
324.185,8.7117
325.186,8.7028
326.185,8.6925
327.186,8.6824
328.186,8.6734
329.186,8.6635
330.186,8.6537
331.186,8.6439
332.186,8.6345
333.186,8.6248
334.186,8.6148
335.186,8.6054
336.186,8.5959
337.186,8.5858
338.186,8.5761
339.186,8.5664
340.185,8.5565
341.186,8.5472
342.186,8.5372
343.185,8.5284
344.186,8.5189
345.186,8.5087
346.186,8.4994
347.185,8.4898
348.186,8.4816
349.186,8.4715
350.186,8.4621
351.186,8.4536
352.186,8.4437
353.185,8.4341
354.186,8.4253
355.186,8.416
356.186,8.4059
357.186,8.3971
358.186,8.3886
359.186,8.3776
360.186,8.3685
361.186,8.359
362.185,8.3495
363.186,8.3399
364.186,8.3304
365.186,8.3214
366.186,8.3128
367.186,8.3034
368.186,8.2942
369.186,8.2847
370.186,8.2754
371.186,8.266
372.185,8.2565
373.186,8.2473
374.186,8.2392
375.186,8.229
376.186,8.2208
377.186,8.2117
378.186,8.2024
379.186,8.1922
380.186,8.1833
381.186,8.1737
382.186,8.1646
383.186,8.1564
384.186,8.1465
385.186,8.1379
386.186,8.1282
387.186,8.1185
388.186,8.1095
389.186,8.1005
390.186,8.0918
391.186,8.0824
392.186,8.073
393.186,8.0644
394.186,8.0557
395.186,8.0464
396.186,8.037
397.185,8.0281
398.186,8.0189
399.186,8.0103
400.186,8.0011
401.186,7.9917
402.185,7.9833
403.186,7.9734
404.186,7.9645
405.186,7.955
406.186,7.9465
407.185,7.9379
408.186,7.9294
409.186,7.9193
410.186,7.9105
411.186,7.9019
412.186,7.8937
413.186,7.8836
414.186,7.8748
415.186,7.8655
416.186,7.857
417.185,7.8486
418.186,7.8401
419.186,7.8317
420.186,7.8219
421.185,7.8143
422.186,7.8052
423.186,7.7972
424.186,7.7871
425.186,7.7784
426.185,7.7688
427.186,7.7605
428.186,7.752
429.186,7.7431
430.186,7.735
431.186,7.7271
432.186,7.7174
433.186,7.7098
434.186,7.7005
435.186,7.6927
436.186,7.6831
437.185,7.6756
438.186,7.6676
439.186,7.6595
440.185,7.651
441.186,7.6435
442.185,7.6342
443.186,7.6258
444.186,7.6178
445.186,7.6093
446.186,7.6023
447.186,7.5939
448.186,7.5851
449.186,7.5772
450.186,7.5698
451.186,7.5611
452.186,7.5534
453.186,7.5447
454.186,7.5363
455.186,7.5292
456.186,7.5212
457.186,7.5125
458.186,7.5047
459.186,7.4971
460.186,7.4885
461.186,7.4809
462.186,7.4722
463.186,7.464
464.185,7.4559
465.186,7.4466
466.186,7.4384
467.186,7.4297
468.186,7.4214
469.186,7.4126
470.186,7.4041
471.186,7.3966
472.186,7.388
473.186,7.3795
474.186,7.3706
475.186,7.3627
476.185,7.3551
477.186,7.3451
478.186,7.3389
479.186,7.3304
480.186,7.3202
481.186,7.3133
482.185,7.3042
483.186,7.2955
484.186,7.2878
485.185,7.2801
486.186,7.2719
487.185,7.2631
488.186,7.2554
489.186,7.2481
490.186,7.2409
491.186,7.2335
492.186,7.2258
493.185,7.2173
494.186,7.2097
495.186,7.2027
496.186,7.1952
497.186,7.1869
498.186,7.1786
499.186,7.171
500.186,7.1642
501.186,7.1557
502.185,7.1484
503.186,7.1418
504.186,7.1334
505.186,7.126
506.185,7.118
507.186,7.1102
508.185,7.1027
509.186,7.0944
510.186,7.0857
511.186,7.0779
512.186,7.0691
513.185,7.0619
514.186,7.0532
515.186,7.0451
516.186,7.0376
517.186,7.0291
518.185,7.0209
519.186,7.0136
520.186,7.0059
521.186,6.9983
522.186,6.9902
523.186,6.9822
524.186,6.9749
525.186,6.9666
526.186,6.9582
527.185,6.951
528.185,6.9434
529.186,6.9372
530.186,6.9282
531.186,6.9211
532.186,6.9128
533.186,6.9064
534.186,6.8988
