t (s),V (mV)
357.926,4.0248
358.927,4.0184
359.926,4.0114
360.926,4.0048
361.927,3.9976
362.927,3.9908
363.927,3.9844
364.926,3.9774
365.926,3.9703
366.926,3.9643
367.927,3.9579
368.926,3.9509
369.926,3.9443
370.926,3.9375
371.927,3.9306
372.926,3.9251
373.926,3.9186
374.926,3.9111
375.926,3.9046
376.926,3.8985
377.926,3.8912
378.926,3.8849
379.926,3.879
380.927,3.8722
381.927,3.866
382.927,3.8586
383.926,3.8535
384.926,3.8461
385.926,3.8398
386.926,3.8332
387.926,3.8266
388.927,3.8205
389.926,3.814
390.926,3.8072
391.926,3.8006
392.926,3.7935
393.927,3.7875
394.926,3.7814
395.926,3.775
396.927,3.7687
397.926,3.7622
398.926,3.7564
